1,71
1,278
2,16
2,269
3,127
3,272
4,46
4,332
5,97
5,292
6,89
7,214
8,189
8,273
9,34
9,322
10,77
11,250
11,366
12,161
12,256
12,364
13,282
14,117
14,161
15,367
16,50
16,269
17,144
17,327
17,380
18,261
18,348
19,317
20,291
20,376
21,293
21,339
22,4
23,229
23,326
24,135
24,360
25,90
25,340
26,371
27,319
28,351
29,375
30,67
30,267
31,90
32,124
33,147
33,320
34,96
35,136
35,361
36,263
36,353
37,277
37,366
38,66
39,396
40,181
40,265
40,355
41,310
42,113
42,257
43,52
43,354
44,399
45,90
46,4
46,260
47,158
47,298
48,60
48,391
49,122
50,269
51,287
52,234
52,291
52,354
52,362
52,391
53,155
53,300
54,179
54,308
55,7
55,166
56,399
57,2
57,16
57,119
58,15
58,367
59,150
60,48
61,29
61,375
62,6
62,89
63,10
63,281
64,
65,293
65,372
66,99
66,104
67,177
67,267
68,303
69,244
70,267
71,248
71,301
72,319
73,218
74,118
74,279
75,93
76,244
77,18
77,345
78,159
78,237
79,137
79,267
80,123
80,129
80,140
80,195
81,205
82,33
82,147
82,208
83,154
83,360
84,204
84,280
84,377
85,59
85,106
85,318
85,373
86,259
86,350
87,262
88,216
88,384
89,286
90,253
91,20
91,131
92,71
93,8
94,260
94,329
95,205
96,374
97,247
97,292
97,344
98,358
99,383
100,91
100,346
101,327
102,19
102,68
102,303
103,252
103,359
104,49
105,39
105,194
105,215
105,368
105,382
106,126
106,152
107,148
107,197
108,185
109,120
109,212
110,319
111,249
112,105
112,142
113,78
113,285
114,359
115,95
115,313
115,330
116,378
117,308
117,354
118,
119,269
120,197
121,103
121,359
122,13
122,268
122,282
123,140
123,164
123,184
124,76
124,138
125,73
126,26
126,152
127,188
127,272
128,58
128,210
129,104
130,280
131,291
132,319
133,52
134,87
134,202
134,325
135,360
136,229
137,354
138,163
138,351
139,
140,395
141,66
141,111
142,396
143,44
143,399
144,217
145,363
146,11
146,366
147,208
148,230
149,181
149,265
149,355
150,133
150,222
150,297
151,86
151,158
151,218
152,371
153,399
154,41
155,300
156,92
156,343
157,4
157,329
158,218
159,237
159,265
159,365
160,267
161,43
161,48
161,291
162,23
162,69
163,28
163,351
164,129
164,236
165,66
165,141
165,249
166,158
166,218
167,187
167,359
168,65
168,293
168,372
169,400
170,319
171,187
171,337
172,141
172,165
172,249
173,24
173,135
173,360
174,198
175,177
175,267
176,270
176,375
177,52
177,175
177,391
178,162
179,54
179,258
180,22
180,70
180,329
181,265
181,355
182,
183,237
183,266
184,34
184,322
185,162
186,198
187,171
187,308
188,209
188,342
189,25
189,90
190,167
190,259
191,46
191,308
191,392
192,169
193,93
193,338
194,105
194,142
195,140
195,164
196,280
197,48
197,295
198,
199,283
200,387
201,293
202,87
203,38
203,66
204,130
204,280
204,377
205,254
205,380
206,284
206,341
207,83
207,154
208,363
208,397
209,47
209,158
210,255
210,357
211,173
211,360
212,120
212,369
213,36
213,314
214,99
214,104
214,271
215,105
215,142
216,384
217,118
218,3
218,209
218,316
218,386
219,182
220,171
221,27
221,72
221,110
221,132
221,170
222,85
223,53
223,300
224,118
225,63
225,77
226,267
227,20
227,100
227,131
227,291
227,291
228,85
229,69
230,64
230,390
231,182
232,375
233,198
234,161
235,5
235,176
236,395
237,285
238,70
238,180
238,329
239,88
239,149
240,145
241,90
242,139
242,379
243,128
244,143
244,399
245,198
246,70
246,180
246,329
247,292
248,301
249,66
249,304
250,366
251,344
251,399
252,226
252,312
253,73
253,125
253,328
254,279
254,280
254,333
254,352
255,93
255,193
256,114
256,297
256,398
257,168
257,293
258,54
259,7
260,259
260,329
261,345
262,199
262,251
263,314
264,80
264,129
265,88
266,237
267,79
267,246
267,312
267,349
268,13
268,282
269,225
270,61
270,375
270,394
271,214
271,336
272,7
273,189
274,98
274,324
274,356
275,230
276,182
277,11
277,146
277,366
278,92
278,156
279,17
279,333
279,380
280,311
281,10
282,115
283,251
284,46
284,392
285,213
285,314
286,107
286,148
286,275
286,294
287,32
287,309
288,182
289,396
290,198
291,52
291,227
291,315
292,40
292,239
293,113
294,107
294,148
294,275
295,48
295,161
296,42
297,150
297,256
298,86
299,260
299,359
300,102
300,303
301,82
301,208
302,198
303,128
303,243
304,66
304,203
305,108
305,162
306,161
306,291
307,87
307,134
308,54
308,160
308,187
308,354
309,124
310,211
311,108
311,178
311,305
312,308
313,211
314,223
314,300
315,291
315,306
316,151
316,218
317,303
318,85
318,228
319,81
319,221
320,363
321,169
322,96
323,8
323,255
324,358
325,87
326,35
326,229
327,380
328,73
328,125
329,157
329,238
329,299
329,392
330,81
331,287
332,4
332,329
333,224
333,380
334,292
335,182
336,66
336,172
336,249
337,267
338,75
338,93
339,201
340,31
340,45
340,241
340,388
341,46
341,191
341,220
341,392
342,7
343,92
344,56
344,153
345,311
345,381
346,131
347,182
348,51
348,331
349,30
349,267
350,7
351,76
352,74
352,279
353,314
354,14
354,52
354,234
354,308
355,181
355,265
356,358
357,57
357,269
358,105
358,142
358,389
359,94
359,121
359,190
359,385
360,89
361,136
362,177
363,42
363,370
364,256
364,373
365,183
365,237
366,62
366,89
367,235
367,323
368,105
368,142
369,109
370,42
370,116
371,274
372,21
373,85
374,207
375,5
376,291
377,196
378,42
378,296
379,139
380,37
381,84
381,280
382,396
383,80
383,129
383,264
384,262
384,307
385,114
385,297
385,398
386,55
386,166
387,
388,90
389,112
389,289
390,120
390,293
391,48
391,52
391,362
392,206
392,329
393,212
393,369
394,232
395,34
395,322
396,242
397,240
397,363
398,264
399,218
400,
75,321
145,321
258,321
